"","created_on","l5","bedrooms","bathrooms","surface_total","surface_covered","price","property_type"
"31224","2020-12-04","La Molina",5,4,245,263,535000,"Casa"
"31225","2020-12-04","Los Olivos",5,3,215,215,260000,"Departamento"
"31226","2020-12-04","Santiago de Surco",5,5,293,293,500000,"Casa"
"31232","2020-12-04","San Juan de Lurigancho",6,3,200,150,129900,"Casa"
"31241","2020-12-04","Los Olivos",11,7,420,150,250000,"Casa"
"31781","2021-02-02","Ate",3,2,75,75,102000,"Departamento"
"31813","2021-02-02","Lurín",4,3,300,170,129000,"Casa"
"31820","2021-02-02","La Molina",3,2,75,75,117000,"Departamento"
"31878","2021-02-02","Miraflores",4,1,197,197,580000,"Casa"
"31914","2021-02-02","San Miguel",0,2,80,80,145000,"Departamento"
"31924","2021-02-02","Punta Negra",3,2,290,290,350000,"Casa"
"31927","2021-02-02","Pueblo Libre",2,2,91,91,147000,"Departamento"
"31952","2021-02-02","Santiago de Surco",3,4,99,99,184000,"Departamento"
"31956","2021-02-02","Santiago de Surco",3,3,145,154,279000,"Departamento"
"32349","2021-07-13","Miraflores",4,3,217,123,360000,"Casa"
"32350","2021-07-13","El Agustino",4,3,95,42,120000,"Casa"
"32351","2021-07-13","Pueblo Libre",3,2,173,101,265000,"Casa"
"32368","2021-07-13","San Isidro",4,3,300,300,800000,"Departamento"
"32369","2021-07-13","Chorrillos",3,2,63,63,67000,"Departamento"
"32370","2021-07-13","San Borja",3,2,106,92,185000,"Departamento"
"32372","2021-07-13","Chorrillos",3,2,76,76,130000,"Departamento"
"32374","2021-07-13","San Isidro",3,4,150,150,331000,"Departamento"
"32435","2021-02-28","Chorrillos",3,2,77,77,90000,"Departamento"
"32450","2021-02-28","Santiago de Surco",5,7,376,553,975000,"Departamento"
"32596","2020-12-06","Miraflores",2,2,86,86,190000,"Departamento"
"32602","2020-12-06","San Juan de Lurigancho",2,2,104,126,75000,"Departamento"
"32612","2020-12-06","Ate",3,2,70,70,92000,"Departamento"
"32613","2020-12-06","Comas",3,2,162,78,100000,"Casa"
"32614","2020-12-06","La Molina",3,2,84,84,115000,"Departamento"
"32616","2020-12-06","San Borja",3,2,112,112,157000,"Departamento"
"32620","2020-12-06","Surquillo",3,2,176,176,290000,"Departamento"
"32624","2020-12-06","Magdalena Del Mar",3,3,120,120,145000,"Departamento"
"32628","2020-12-06","Santiago de Surco",3,4,91,91,169600,"Departamento"
"32629","2020-12-06","Santiago de Surco",3,3,125,127,225000,"Departamento"
"32630","2020-12-06","San Juan de Lurigancho",3,1,106,106,55000,"Departamento"
"32631","2020-12-06","San Juan de Lurigancho",3,1,106,106,65000,"Departamento"
"32637","2020-12-06","Los Olivos",4,4,120,120,205000,"Casa"
"32638","2020-12-06","Lurigancho",4,4,300,164,135000,"Casa"
"32641","2020-12-06","Miraflores",4,1,197,197,580000,"Casa"
"32642","2020-12-06","Santiago de Surco",4,4,255,355,860000,"Departamento"
"32645","2020-12-06","La Molina",5,5,312,486,785000,"Casa"
"32647","2020-12-06","San Martín de Porres",6,4,300,183,220000,"Casa"
"32648","2020-12-06","San Juan de Lurigancho",8,3,315,439,152000,"Casa"
"32791","2021-03-21","Magdalena Del Mar",3,2,75,75,115000,"Departamento"
"32854","2021-03-21","Santiago de Surco",3,4,128,149,200500,"Departamento"
"32856","2021-03-21","San Martín de Porres",5,5,380,140,260000,"Casa"
"32960","2020-11-07","Comas",7,4,306,150,250000,"Casa"
"32963","2020-11-07","Lince",2,1,75,75,75000,"Departamento"
"32964","2020-11-07","Ancón",4,4,350,350,149000,"Departamento"
"32965","2020-11-07","Ancón",4,4,350,350,149000,"Departamento"
"32978","2020-11-07","La Molina",3,2,95,95,250000,"Departamento"
"32979","2020-11-07","La Molina",2,1,60,60,99000,"Departamento"
"32980","2020-11-07","La Molina",2,1,60,60,99000,"Departamento"
"32983","2020-11-07","La Molina",5,4,280,160,310000,"Casa"
"32984","2020-11-07","La Molina",5,4,280,160,310000,"Casa"
"32986","2020-11-07","San Borja",4,4,273,273,460000,"Departamento"
"32987","2020-11-07","San Borja",4,4,273,273,460000,"Departamento"
"32993","2020-11-07","Surquillo",3,2,80,80,152000,"Departamento"
"32994","2020-11-07","Surquillo",3,2,80,80,152000,"Departamento"
"33006","2020-11-07","Chaclacayo",4,4,388,2534,1200000,"Casa"
"33018","2020-11-07","Miraflores",2,2,106,106,234000,"Departamento"
"33024","2020-11-07","Miraflores",3,3,184,184,455000,"Departamento"
"33028","2020-11-07","Miraflores",4,3,440,440,680000,"Departamento"
"33029","2020-11-07","Miraflores",2,2,95,194,362400,"Departamento"
"33030","2020-11-07","Miraflores",2,2,134,166,413300,"Departamento"
"33031","2020-11-07","Miraflores",2,2,95,194,362400,"Departamento"
"33032","2020-11-07","Miraflores",2,2,134,166,413300,"Departamento"
"33033","2020-11-07","Miraflores",2,2,130,138,390400,"Departamento"
"33034","2020-11-07","Miraflores",2,2,130,138,390400,"Departamento"
"33037","2020-11-07","Miraflores",4,4,650,770,1000000,"Departamento"
"33038","2020-11-07","Miraflores",4,4,650,770,1000000,"Departamento"
"33039","2020-11-07","Miraflores",2,3,80,80,173000,"Departamento"
"33041","2020-11-07","San Miguel",2,2,60,60,113000,"Departamento"
"33075","2020-11-07","Santiago de Surco",3,4,121,121,235000,"Departamento"
"33076","2020-11-07","Santiago de Surco",3,4,121,121,235000,"Departamento"
"33079","2020-11-07","Santiago de Surco",2,2,92,92,170000,"Departamento"
"33080","2020-11-07","Santiago de Surco",2,2,100,100,170000,"Departamento"
"33316","2021-04-30","Miraflores",1,1,56,56,150000,"Departamento"
"33318","2021-04-30","Miraflores",1,1,130,130,148000,"Departamento"
"33322","2021-04-30","Ate",2,2,71,71,90000,"Departamento"
"33342","2021-04-30","San Isidro",3,2,204,204,395000,"Departamento"
"33532","2021-03-11","Lince",3,2,90,90,130000,"Departamento"
"34349","2021-02-01","Chorrillos",5,5,287,181,350000,"Casa"
"34376","2021-02-01","Pachacamac",6,5,400,326,200000,"Casa"
"34377","2021-02-01","San Isidro",2,2,123,123,105000,"Departamento"
"34390","2021-02-01","Jesús María",2,1,109,109,80000,"Departamento"
"34396","2021-02-01","Punta Hermosa",7,8,607,282,350000,"Casa"
"34400","2021-02-01","Magdalena Del Mar",3,3,100,100,200000,"Departamento"
"34426","2021-02-01","San Juan de Lurigancho",2,1,75,88,75000,"Casa"
"34427","2021-02-01","San Juan de Miraflores",5,3,285,160,210000,"Casa"
"34573","2021-03-20","Miraflores",2,1,95,95,133000,"Departamento"
"34594","2021-03-20","Ate",3,2,84,84,116000,"Departamento"
"34601","2021-03-20","Miraflores",3,2,80,80,180000,"Departamento"
"34686","2021-03-20","San Juan de Miraflores",9,7,314,170,253000,"Casa"
"34785","2021-03-22","Lima Cercado",2,1,40,33,50000,"Departamento"
"34815","2021-03-22","Surquillo",3,2,107,107,145000,"Departamento"
"34816","2021-03-22","Surquillo",2,2,47,47,80000,"Departamento"
"34822","2021-03-22","Miraflores",2,2,100,100,285000,"Departamento"
"34902","2021-03-22","San Martín de Porres",3,3,85,85,65900,"Departamento"
"34917","2021-03-22","San Borja",5,4,377,318,640000,"Casa"
"35043","2021-02-05","La Molina",6,6,302,302,650000,"Casa"
"35055","2021-02-05","San Martín de Porres",3,2,180,120,130000,"Casa"
"35056","2021-02-05","Carabayllo",3,2,95,76,52000,"Casa"
"35213","2021-02-05","Ate",3,3,83,83,120000,"Departamento"
"35219","2021-02-05","Santiago de Surco",3,3,121,121,215000,"Departamento"
"35220","2021-02-05","Santiago de Surco",3,3,110,110,240000,"Departamento"
"35241","2021-02-05","Breña",2,1,50,50,69000,"Departamento"
"35250","2021-02-05","Punta Hermosa",5,4,190,212,295000,"Departamento"
"35262","2021-02-05","Santiago de Surco",3,3,122,152,310000,"Departamento"
"35263","2021-02-05","San Juan de Lurigancho",0,1,82,82,100000,"Departamento"
"35551","2021-02-15","Santiago de Surco",5,5,326,198,420000,"Casa"
"36097","2020-09-27","La Molina",0,4,387,472,610000,"Casa"
"36109","2020-09-27","Santiago de Surco",1,3,250,1345,2285650,"Casa"
"36123","2020-09-27","La Molina",3,1,63,63,85000,"Departamento"
"36130","2020-09-27","Miraflores",3,3,126,126,230000,"Departamento"
"36131","2020-09-27","Miraflores",3,2,118,118,170000,"Departamento"
"36139","2020-09-27","Magdalena Del Mar",3,2,120,120,110000,"Departamento"
"36141","2020-09-27","Chorrillos",4,3,140,140,150000,"Departamento"
"36144","2020-09-27","San Miguel",4,3,96,96,152000,"Departamento"
"36150","2020-09-27","Lima Cercado",6,3,198,133,270000,"Casa"
"36585","2020-12-16","Santiago de Surco",2,1,79,79,140000,"Departamento"
"36779","2020-12-16","Miraflores",3,2,109,109,245000,"Departamento"
"36858","2020-12-16","Pueblo Libre",2,2,67,67,111500,"Departamento"
"36919","2020-12-16","San Martín de Porres",3,2,90,60,65000,"Casa"
"37145","2020-12-16","Carabayllo",4,4,232,180,170000,"Casa"
"37294","2020-12-16","Santiago de Surco",7,6,435,204,495000,"Casa"
"37611","2020-12-18","Santa Anita",0,2,81,81,88000,"Casa"
"37649","2020-12-18","San Bartolo",3,3,127,127,120000,"Departamento"
"37650","2020-12-18","Magdalena Del Mar",3,2,70,70,103000,"Departamento"
"37651","2020-12-18","Santiago de Surco",3,3,331,334,770000,"Casa"
"37659","2020-12-18","San Juan de Lurigancho",3,2,103,103,195000,"Departamento"
"37667","2020-12-18","San Borja",4,3,112,112,178000,"Departamento"
"37672","2020-12-18","San Martín de Porres",4,1,109,120,98000,"Departamento"
"37674","2020-12-18","San Juan de Miraflores",5,3,300,200,260000,"Casa"
"37731","2021-02-14","San Luis",3,2,75,75,119000,"Departamento"
"37933","2020-09-06","Comas",8,4,178,216,390000,"Casa"
"37934","2020-09-06","Chaclacayo",3,3,150,244,190000,"Casa"
"37935","2020-09-06","Jesús María",7,9,287,340,460000,"Casa"
"37936","2020-09-06","Santiago de Surco",4,5,251,152,430000,"Casa"
"37954","2020-09-06","Villa María del Triunfo",2,1,68,68,64999,"Departamento"
"37955","2020-09-06","San Borja",3,3,131,192,300000,"Departamento"
"37957","2020-09-06","Lince",3,2,94,94,139000,"Departamento"
"37961","2020-09-06","La Molina",4,3,130,241,200000,"Departamento"
"37962","2020-09-06","Miraflores",2,3,155,155,340000,"Departamento"
"37963","2020-09-06","Ate",2,1,62,62,65000,"Departamento"
"37965","2020-09-06","Magdalena Del Mar",3,3,109,109,188000,"Departamento"
"37967","2020-09-06","Jesús María",3,2,80,149,185000,"Departamento"
"37969","2020-09-06","Puente Piedra",3,2,135,135,60000,"Departamento"
"37970","2020-09-06","San Borja",3,4,131,191,320000,"Departamento"
"37975","2020-09-06","La Molina",3,3,96,103,210000,"Departamento"
"37979","2020-09-06","Lima Cercado",3,2,208,104,95000,"Departamento"
"38231","2020-09-06","Barranco",2,2,309,309,925000,"Departamento"
"38232","2020-09-06","Barranco",2,2,309,309,925000,"Departamento"
"38236","2020-09-06","San Juan de Miraflores",3,1,64,64,89000,"Departamento"
"38247","2020-09-06","Carabayllo",2,1,50,76,55000,"Casa"
"38249","2020-09-06","Jesús María",3,2,80,80,115000,"Departamento"
"38255","2020-09-06","Barranco",3,2,83,83,140000,"Departamento"
"38256","2020-09-06","Surquillo",3,2,83,83,145000,"Departamento"
"38259","2020-09-06","Los Olivos",3,2,85,85,65000,"Departamento"
"38260","2020-09-06","Lima Cercado",3,2,85,85,160000,"Departamento"
"38261","2020-09-06","Santiago de Surco",3,2,85,85,110000,"Departamento"
"38267","2020-09-06","San Juan de Lurigancho",3,2,90,90,95000,"Casa"
"38272","2020-09-06","San Juan de Lurigancho",3,2,90,90,90000,"Casa"
"38275","2020-09-06","Carabayllo",4,3,113,91,81000,"Casa"
"38279","2020-09-06","Miraflores",2,2,98,98,219000,"Departamento"
"38282","2020-09-06","Ate",3,2,100,100,147000,"Departamento"
"38286","2020-09-06","San Martín de Porres",4,3,300,101,138000,"Casa"
"38287","2020-09-06","San Martín de Porres",3,2,101,101,120000,"Departamento"
"38290","2020-09-06","Chaclacayo",6,5,252,105,130000,"Casa"
"38293","2020-09-06","Santiago de Surco",4,2,99,107,159000,"Departamento"
"38294","2020-09-06","Santiago de Surco",3,2,107,107,185000,"Departamento"
"38295","2020-09-06","San Borja",3,2,107,107,220000,"Departamento"
"38296","2020-09-06","San Borja",3,2,107,107,214000,"Departamento"
"38297","2020-09-06","San Borja",3,3,107,107,220000,"Departamento"
"38303","2020-09-06","San Juan de Lurigancho",3,2,115,115,95000,"Departamento"
"38304","2020-09-06","San Juan de Lurigancho",3,2,115,115,110000,"Departamento"
"38305","2020-09-06","Santiago de Surco",0,3,116,116,200000,"Departamento"
"38306","2020-09-06","Santiago de Surco",4,3,116,116,200000,"Departamento"
"38307","2020-09-06","Comas",7,3,110,120,110000,"Casa"
"38323","2020-09-06","Santiago de Surco",3,3,111,132,210000,"Departamento"
"38324","2020-09-06","Santiago de Surco",3,3,111,132,215000,"Departamento"
"38327","2020-09-06","San Borja",3,3,139,139,275000,"Departamento"
"38328","2020-09-06","San Borja",3,3,139,139,285000,"Departamento"
"38329","2020-09-06","Ancón",3,1,60,140,59000,"Casa"
"38335","2020-09-06","Miraflores",4,3,141,141,290000,"Departamento"
"38336","2020-09-06","Miraflores",4,3,141,141,290000,"Departamento"
"38344","2020-09-06","San Miguel",6,3,223,160,345000,"Casa"
"38345","2020-09-06","San Juan de Lurigancho",5,3,120,160,160000,"Casa"
"38347","2020-09-06","Santa Anita",4,3,160,160,255000,"Casa"
"38360","2020-09-06","San Martín de Porres",6,4,180,180,100000,"Departamento"
"38361","2020-09-06","San Martín de Porres",6,4,180,180,100000,"Departamento"
"38371","2020-09-06","Santiago de Surco",4,1,214,464,1100000,"Casa"
"38563","2020-12-02","Ate",3,2,66,66,57000,"Departamento"
"38592","2020-12-02","La Molina",3,2,63,63,85000,"Departamento"
"38595","2020-12-02","San Borja",3,3,147,147,279000,"Departamento"
"38607","2020-12-02","Chorrillos",3,1,59,59,68000,"Departamento"
"38651","2020-12-02","San Miguel",1,1,52,52,63000,"Departamento"
"38653","2020-12-02","San Miguel",3,3,102,102,147610,"Departamento"
"38664","2020-12-02","Lima Cercado",3,1,77,77,88000,"Departamento"
"38689","2020-12-02","Magdalena Del Mar",3,3,182,182,232000,"Departamento"
"38700","2020-12-02","Santiago de Surco",3,3,92,92,78000,"Departamento"
"38722","2020-12-02","San Martín de Porres",6,5,120,98,400000,"Casa"
"38782","2021-03-08","Breña",3,2,68,68,70000,"Departamento"
"38869","2021-03-08","San Martín de Porres",4,2,110,110,100000,"Departamento"
"39034","2020-09-12","Lima Cercado",2,1,90,90,83500,"Departamento"
"39094","2020-09-12","Pueblo Libre",1,2,50,50,73051,"Departamento"
"39095","2020-09-12","Pueblo Libre",1,2,50,50,75570,"Departamento"
"39096","2020-09-12","Pueblo Libre",1,2,50,50,70280,"Departamento"
"39097","2020-09-12","Pueblo Libre",1,2,50,50,72790,"Departamento"
"39098","2020-09-12","Jesús María",3,2,102,51,140000,"Casa"
"39106","2020-09-12","Pueblo Libre",3,2,82,82,125080,"Departamento"
"39107","2020-09-12","Pueblo Libre",3,2,82,82,120979,"Departamento"
"39111","2020-09-12","San Juan de Lurigancho",2,2,80,90,55000,"Casa"
"39112","2020-09-12","Miraflores",1,2,90,90,255000,"Departamento"
"39116","2020-09-12","La Molina",3,2,90,94,117000,"Departamento"
"39117","2020-09-12","La Molina",3,2,103,103,175000,"Departamento"
"39118","2020-09-12","Miraflores",3,2,103,103,175000,"Departamento"
"39119","2020-09-12","La Molina",3,2,103,103,175000,"Departamento"
"39120","2020-09-12","La Molina",3,2,106,106,175000,"Departamento"
"39122","2020-09-12","Miraflores",3,2,108,108,255000,"Departamento"
"39123","2020-09-12","Miraflores",1,2,114,114,305000,"Departamento"
"39125","2020-09-12","Santiago de Surco",3,2,115,115,330000,"Departamento"
"39128","2020-09-12","Magdalena Del Mar",2,2,129,129,220000,"Departamento"
"39177","2020-09-12","San Borja",3,3,94,94,190000,"Departamento"
"39180","2020-09-12","Miraflores",2,3,120,120,330000,"Departamento"
"39181","2020-09-12","Miraflores",2,3,120,120,328000,"Departamento"
"39182","2020-09-12","Miraflores",2,3,120,120,310000,"Departamento"
"39185","2020-09-12","Santiago de Surco",3,3,140,140,235000,"Departamento"
"39186","2020-09-12","Miraflores",3,3,143,143,399000,"Departamento"
"39187","2020-09-12","Santiago de Surco",4,3,120,144,256000,"Departamento"
"39208","2020-09-12","Lurín",4,4,163,284,155000,"Casa"
"39214","2020-09-12","Santiago de Surco",8,4,272,200,360000,"Casa"
"39215","2020-09-12","Miraflores",3,4,213,200,455000,"Casa"
"39216","2020-09-12","Miraflores",3,4,213,200,499800,"Casa"
"39217","2020-09-12","Santiago de Surco",4,4,207,207,340000,"Departamento"
"39221","2020-09-12","Santiago de Surco",4,4,220,255,450000,"Casa"
"39241","2020-09-12","Lurigancho",17,9,518,122,260000,"Casa"
"39378","2020-11-15","Lince",1,1,48,48,150000,"Departamento"
"39400","2020-11-15","Miraflores",2,3,100,100,199000,"Departamento"
"39403","2020-11-15","Miraflores",2,3,250,250,360000,"Departamento"
"39404","2020-11-15","Miraflores",2,3,100,100,199000,"Departamento"
"39407","2020-11-15","La Victoria",2,2,100,100,160000,"Casa"
"39408","2020-11-15","La Victoria",2,3,103,103,160000,"Departamento"
"39409","2020-11-15","Pueblo Libre",2,1,90,90,90000,"Departamento"
"39410","2020-11-15","Santiago de Surco",2,2,96,96,190000,"Departamento"
"39434","2020-11-15","Ancón",3,1,236,133,65000,"Departamento"
"39435","2020-11-15","La Molina",3,3,107,107,160000,"Departamento"
"39436","2020-11-15","La Molina",3,3,107,107,160000,"Departamento"
"39440","2020-11-15","Chorrillos",3,3,156,52,100000,"Departamento"
"39443","2020-11-15","San Isidro",3,4,188,188,385000,"Departamento"
"39444","2020-11-15","San Isidro",3,4,188,188,385000,"Departamento"
"39446","2020-11-15","Punta Hermosa",3,2,84,105,90000,"Departamento"
"39447","2020-11-15","Santiago de Surco",3,3,457,318,530000,"Casa"
"39453","2020-11-15","Santiago de Surco",3,3,146,236,790000,"Departamento"
"39456","2020-11-15","Ate",4,4,125,126,147000,"Departamento"
"39464","2020-11-15","San Miguel",4,3,280,140,160000,"Casa"
"39465","2020-11-15","San Miguel",4,3,280,140,160000,"Casa"
"39466","2020-11-15","Santiago de Surco",4,3,292,277,530000,"Casa"
"39469","2020-11-15","Santiago de Surco",4,5,117,117,320000,"Departamento"
"39470","2020-11-15","Santiago de Surco",4,5,117,117,279500,"Departamento"
"39473","2020-11-15","Pueblo Libre",5,2,134,134,207500,"Departamento"
"39474","2020-11-15","Ate",6,4,210,210,130000,"Casa"
"39478","2020-11-15","San Miguel",6,4,160,160,390000,"Casa"
"39507","2021-05-22","San Juan de Lurigancho",6,4,90,90,159000,"Casa"
"39616","2020-12-19","La Molina",6,6,400,1050,1700000,"Casa"
"39623","2020-12-19","San Borja",3,2,124,124,210000,"Departamento"
"39651","2020-12-19","San Isidro",2,2,57,57,150000,"Departamento"
"39691","2020-12-19","Santiago de Surco",3,3,93,140,170000,"Departamento"
"39860","2021-02-16","Comas",3,1,120,120,72000,"Departamento"
"39887","2021-02-16","San Isidro",3,3,277,277,750000,"Departamento"
"39915","2021-02-16","Santiago de Surco",3,3,116,116,280000,"Departamento"
"40444","2020-11-29","Comas",8,4,300,230,107912,"Casa"
"40446","2020-11-29","Comas",3,2,85,85,80000,"Departamento"
"40447","2020-11-29","Comas",3,3,75,75,75500,"Departamento"
"40448","2020-11-29","Comas",3,2,75,85,80000,"Departamento"
"40449","2020-11-29","Comas",3,2,75,75,73500,"Departamento"
"40450","2020-11-29","Comas",3,2,75,75,73500,"Departamento"
"40451","2020-11-29","Comas",3,2,75,75,74000,"Departamento"
"40452","2020-11-29","Comas",3,2,75,75,70000,"Departamento"
"40453","2020-11-29","Comas",3,2,75,75,75000,"Departamento"
"40454","2020-11-29","Comas",3,2,75,75,73000,"Departamento"
"40455","2020-11-29","Comas",3,2,75,75,72500,"Departamento"
"40470","2020-11-29","Surquillo",3,2,82,82,140000,"Departamento"
"40474","2020-11-29","Chorrillos",4,5,380,1021,845000,"Casa"
"40481","2020-11-29","Miraflores",3,2,74,74,155000,"Departamento"
"40496","2020-11-29","Santiago de Surco",6,6,500,807,850000,"Casa"
"40504","2020-11-29","Santiago de Surco",4,3,220,120,375000,"Departamento"
"40580","2021-04-28","Surquillo",7,4,270,160,375000,"Casa"
"40582","2021-04-28","Comas",5,5,160,160,140000,"Casa"
"40593","2021-04-28","Surquillo",1,1,180,40,55000,"Departamento"
"40596","2021-04-28","San Juan de Miraflores",3,2,117,117,120000,"Departamento"
"40598","2021-04-28","San Juan de Miraflores",3,2,117,117,115000,"Departamento"
"40705","2021-01-31","San Martín de Porres",1,1,50,50,42000,"Departamento"
"40713","2021-01-31","Miraflores",3,2,126,126,280000,"Departamento"
"40720","2021-01-31","San Miguel",3,2,64,64,90000,"Departamento"
"40727","2021-01-31","Magdalena Del Mar",3,2,97,113,155000,"Departamento"
"40731","2021-01-31","Santiago de Surco",4,3,217,273,410000,"Departamento"
"40733","2021-01-31","Santiago de Surco",3,3,165,165,430000,"Departamento"
"40823","2020-11-13","Surquillo",3,3,101,101,185000,"Departamento"
"40842","2020-11-13","Lurigancho",2,2,97,97,75000,"Departamento"
"40844","2020-11-13","Lurigancho",2,2,120,120,90000,"Casa"
"40868","2020-11-13","Miraflores",4,6,250,250,435000,"Departamento"
"40869","2020-11-13","Miraflores",4,6,250,250,465000,"Departamento"
"40870","2020-11-13","Miraflores",5,6,250,250,435000,"Departamento"
"40871","2020-11-13","Miraflores",5,6,250,250,465000,"Departamento"
"40872","2020-11-13","Miraflores",3,6,250,250,435000,"Departamento"
"40873","2020-11-13","Miraflores",3,6,250,250,465000,"Departamento"
"40874","2020-11-13","Miraflores",4,4,134,134,380000,"Departamento"
"40902","2020-11-13","La Victoria",3,2,160,160,129000,"Departamento"
"40903","2020-11-13","La Victoria",3,1,70,70,80000,"Departamento"
"40929","2020-11-13","Santiago de Surco",3,3,125,125,236000,"Departamento"
"40930","2020-11-13","Santiago de Surco",3,3,113,120,221500,"Departamento"
"40931","2020-11-13","Santiago de Surco",3,3,102,132,221500,"Departamento"
"40940","2020-11-13","Santiago de Surco",3,2,117,117,216000,"Departamento"
"40948","2020-11-13","Santiago de Surco",3,3,83,83,140000,"Departamento"
"40950","2020-11-13","Villa el Salvador",2,1,50,60,30000,"Casa"
"40951","2020-11-13","San Martín de Porres",3,4,135,135,105000,"Departamento"
"40961","2020-11-13","San Martín de Porres",3,2,70,70,65000,"Departamento"
"40962","2020-11-13","San Juan de Lurigancho",3,1,114,155,135000,"Departamento"
"40963","2020-11-13","San Juan de Lurigancho",5,2,180,90,110000,"Casa"
"40966","2020-11-13","San Juan de Lurigancho",6,3,245,245,280000,"Departamento"
"41161","2021-03-23","Ate",3,2,90,90,70000,"Casa"
"41207","2021-03-23","Surquillo",4,4,225,331,450000,"Departamento"
"41237","2021-03-23","Los Olivos",3,1,115,115,89000,"Departamento"
"41261","2021-03-23","San Isidro",2,2,61,61,178000,"Departamento"
"41291","2021-03-23","Santiago de Surco",8,6,450,258,700000,"Casa"
"41296","2021-03-23","Santiago de Surco",3,3,128,128,199000,"Departamento"
"41297","2021-03-23","Villa el Salvador",2,1,69,69,42000,"Departamento"
"41309","2021-03-23","San Juan de Lurigancho",4,2,190,190,140000,"Departamento"
"41377","2021-03-07","Santiago de Surco",5,4,270,270,550000,"Casa"
"41378","2021-03-07","San Isidro",3,4,136,136,283605,"Departamento"
"41379","2021-03-07","Santiago de Surco",0,4,93,93,159900,"Departamento"
"41380","2021-03-07","San Isidro",3,5,200,274,498000,"Departamento"
"41381","2021-03-07","San Isidro",3,5,201,263,495000,"Departamento"
"41459","2021-07-14","Santiago de Surco",3,3,272,272,575000,"Departamento"
"41463","2021-07-14","Los Olivos",3,2,88,88,100000,"Departamento"
"41468","2021-07-14","Santiago de Surco",3,4,170,250,405000,"Departamento"
"41559","2021-06-04","Miraflores",1,2,101,101,390000,"Departamento"
"41560","2021-06-04","Puente Piedra",3,1,58,58,52000,"Departamento"
"41605","2021-04-01","San Borja",2,1,82,82,145000,"Departamento"
"41606","2021-04-01","San Borja",3,3,133,133,220000,"Departamento"
"41607","2021-04-01","San Borja",3,3,133,133,250000,"Departamento"
"41610","2021-04-01","Surquillo",1,1,40,40,66000,"Departamento"
"41611","2021-04-01","Surquillo",2,2,64,64,10835800,"Departamento"
"41612","2021-04-01","Carabayllo",3,2,120,120,119000,"Casa"
"41644","2021-04-01","Magdalena Del Mar",2,2,55,55,100000,"Departamento"
"41646","2021-04-01","Magdalena Del Mar",3,2,100,100,210000,"Departamento"
"41648","2021-04-01","Santiago de Surco",0,4,184,184,330000,"Departamento"
"41649","2021-04-01","Santiago de Surco",3,1,67,67,85000,"Departamento"
"41652","2021-04-01","Villa el Salvador",3,2,110,110,150000,"Casa"
"41657","2021-04-01","San Juan de Miraflores",2,2,78,78,79000,"Departamento"
"41830","2021-04-29","Carabayllo",3,1,61,61,41500,"Departamento"
"41840","2021-04-29","Miraflores",3,2,82,82,175000,"Departamento"
"41854","2021-04-29","San Miguel",2,1,62,62,79500,"Departamento"
"41857","2021-04-29","La Victoria",3,3,118,66,85000,"Casa"
"41861","2021-04-29","Pueblo Libre",3,3,210,95,260000,"Casa"
"41879","2021-04-29","San Martín de Porres",12,7,415,160,255000,"Casa"
"41949","2021-04-27","Miraflores",2,2,69,69,155000,"Departamento"
"41950","2021-04-27","Miraflores",3,3,124,124,238000,"Departamento"
"41957","2021-04-27","San Isidro",3,5,213,275,483000,"Departamento"
"41958","2021-04-27","San Isidro",3,4,150,150,321000,"Departamento"
"41959","2021-04-27","San Miguel",3,2,68,68,110000,"Departamento"
"41963","2021-04-27","Pueblo Libre",3,2,88,88,120000,"Departamento"
"42406","2020-12-21","La Molina",2,1,54,54,200000,"Departamento"
"42434","2020-12-21","Ate",3,2,100,100,145000,"Departamento"
"42457","2020-12-21","Lince",4,4,227,227,370000,"Departamento"
"42773","2020-10-08","Comas",1,1,50,140,110000,"Casa"
"42778","2020-10-08","Miraflores",1,2,65,65,165000,"Departamento"
"42796","2020-10-08","Magdalena Del Mar",2,2,68,68,125000,"Departamento"
"42798","2020-10-08","San Miguel",2,1,48,48,66000,"Departamento"
"42799","2020-10-08","Barranco",2,2,74,74,140000,"Departamento"
"42802","2020-10-08","Lince",2,3,93,93,170000,"Departamento"
"42803","2020-10-08","Santiago de Surco",2,2,142,142,326600,"Departamento"
"42805","2020-10-08","Magdalena Del Mar",2,2,68,68,125000,"Departamento"
"42807","2020-10-08","San Isidro",2,2,154,154,437300,"Departamento"
"42808","2020-10-08","Santiago de Surco",2,2,75,75,159500,"Departamento"
"42814","2020-10-08","Santiago de Surco",2,2,124,124,260000,"Departamento"
"42817","2020-10-08","Carabayllo",3,3,101,92,65000,"Casa"
"42827","2020-10-08","Jesús María",3,3,225,225,198500,"Departamento"
"42828","2020-10-08","San Isidro",3,5,156,156,313302,"Departamento"
"42829","2020-10-08","Santiago de Surco",3,4,213,294,560000,"Departamento"
"42831","2020-10-08","San Miguel",3,2,63,63,77000,"Departamento"
"42834","2020-10-08","Santiago de Surco",3,2,86,86,150000,"Departamento"
"42837","2020-10-08","San Isidro",3,5,156,208,392599,"Departamento"
"42839","2020-10-08","Barranco",3,3,106,106,190000,"Departamento"
"42842","2020-10-08","La Molina",3,3,76,76,125000,"Departamento"
"42843","2020-10-08","San Isidro",3,5,157,214,392599,"Departamento"
"42845","2020-10-08","San Borja",3,3,180,180,349999,"Departamento"
